,Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
0,1,Finland,7.842100143432617,1.4463562965393066,1.1061915159225464,0.7408238053321838,0.6905766129493713,0.12420045584440231,0.4805239737033844
1,2,Denmark,7.619500160217285,1.5015480518341064,1.1080076694488525,0.7628624439239502,0.6861603260040283,0.20761457085609436,0.4849926829338074
2,3,Switzerland,7.571499824523926,1.56589937210083,1.0794686079025269,0.8164148330688477,0.6534879207611084,0.20403996109962463,0.413019061088562
3,4,Iceland,7.553899765014648,1.4821898937225342,1.1722792387008667,0.7723187208175659,0.6977011561393738,0.2925264239311218,0.16993995010852814
4,5,Netherlands,7.464000225067139,1.501071572303772,1.0791510343551636,0.7534254193305969,0.6465853452682495,0.3023965656757355,0.3835311233997345
5,6,Norway,7.392499923706055,1.5434552431106567,1.1080878973007202,0.7817675471305847,0.7031350135803223,0.2489185482263565,0.4268389642238617
6,7,Sweden,7.36269998550415,1.478426218032837,1.0615882873535156,0.7628718614578247,0.6849016547203064,0.24421997368335724,0.44760826230049133
7,8,Luxembourg,7.324399948120117,1.7507855892181396,1.0029783248901367,0.7597206830978394,0.6393625140190125,0.16607677936553955,0.35261353850364685
8,9,New Zealand,7.276599884033203,1.4000682830810547,1.093900442123413,0.7849212884902954,0.6654025912284851,0.2755538821220398,0.44494184851646423
9,10,Austria,7.2677998542785645,1.4921637773513794,1.062422513961792,0.7817584276199341,0.6399840712547302,0.21508997678756714,0.2920558750629425
10,11,Australia,7.183499813079834,1.4534845352172852,1.0758804082870483,0.8006671071052551,0.6472353935241699,0.2913886308670044,0.31698212027549744
11,12,Israel,7.157100200653076,1.3763267993927002,1.07381272315979,0.7881687879562378,0.5089752078056335,0.20798835158348083,0.1187649592757225
12,13,Germany,7.1545000076293945,1.4803659915924072,0.9925621747970581,0.7565743923187256,0.6004118323326111,0.19491444528102875,0.30559656023979187
13,14,Canada,7.103300094604492,1.4466791152954102,1.044359564781189,0.7975085377693176,0.6484853029251099,0.24622412025928497,0.33458682894706726
14,15,Ireland,7.085299968719482,1.6444793939590454,1.091831088066101,0.7534213662147522,0.6055065393447876,0.2383265197277069,0.3674488365650177
15,16,Costa Rica,7.069399833679199,1.1335699558258057,0.9658473134040833,0.7219244837760925,0.6725239157676697,0.10547269135713577,0.08328060060739517
16,17,United Kingdom,7.063600063323975,1.4225784540176392,1.06199049949646,0.7565741539001465,0.580345630645752,0.3402424156665802,0.3060355484485626
17,18,Czech Republic,6.964700222015381,1.3698246479034424,1.090193271636963,0.7032392621040344,0.5800207853317261,0.05206361413002014,0.04563715308904648
18,19,United States,6.951499938964844,1.5329774618148804,1.0301469564437866,0.6211386322975159,0.5539203882217407,0.252187579870224,0.1538696587085724
19,20,Belgium,6.834000110626221,1.463081955909729,0.997890293598175,0.7471046447753906,0.48864832520484924,0.08792529255151749,0.18733766674995422
20,21,France,6.689899921417236,1.4214428663253784,1.0808327198028564,0.8038071990013123,0.5355432033538818,0.09239309281110764,0.23506233096122742
21,22,Bahrain,6.646900177001953,1.4091163873672485,0.8990120887756348,0.6619321703910828,0.6610322594642639,0.2461077868938446,0.13861463963985443
22,23,Malta,6.6020002365112305,1.410881519317627,1.0551129579544067,0.7471227049827576,0.6637340784072876,0.27450403571128845,0.1826171875
23,24,Taiwan Province of China,6.584400177001953,1.4798239469528198,0.9815506935119629,0.6652359366416931,0.4899129569530487,0.14198705554008484,0.13903158903121948
24,25,United Arab Emirates,6.560500144958496,1.5545523166656494,0.8601416349411011,0.5938335657119751,0.6700464487075806,0.23624581098556519,0.22332940995693207
25,26,Saudi Arabia,6.49399995803833,1.4349323511123657,0.9641367197036743,0.5708486437797546,0.6029582023620605,0.0904901772737503,0.1628357470035553
26,27,Spain,6.490699768066406,1.3749617338180542,1.0565775632858276,0.8258600234985352,0.46193286776542664,0.13504338264465332,0.12375995516777039
27,28,Italy,6.483099937438965,1.3931456804275513,0.9402785897254944,0.7975162267684937,0.3786349892616272,0.13302730023860931,0.04693835973739624
28,29,Slovenia,6.460700035095215,1.3604670763015747,1.0934864282608032,0.7219191789627075,0.6897962093353271,0.12229762226343155,0.08472754061222076
29,30,Guatemala,6.434500217437744,0.8448103666305542,0.7900813817977905,0.5190408229827881,0.6377022862434387,0.1634448617696762,0.10459919273853302
30,31,Uruguay,6.431399822235107,1.1635020971298218,1.0416945219039917,0.6494903564453125,0.6254554986953735,0.12781445682048798,0.22305861115455627
31,32,Singapore,6.376500129699707,1.695391058921814,1.0189937353134155,0.8968137502670288,0.66372150182724,0.17595279216766357,0.5467753410339355
32,33,Kosovo,6.372000217437744,0.9373340010643005,0.8073555827140808,0.48296672105789185,0.5928694009780884,0.35589656233787537,0.013937699608504772
33,34,Slovakia,6.330900192260742,1.3044217824935913,1.066245198249817,0.6526585817337036,0.4680323302745819,0.1072302758693695,0.017916766926646233
34,35,Brazil,6.330100059509277,1.0278451442718506,0.9439684152603149,0.5707787275314331,0.5143135190010071,0.14162582159042358,0.11666901409626007
35,36,Mexico,6.316800117492676,1.1262321472167969,0.829717218875885,0.6336547136306763,0.584987998008728,0.09220424294471741,0.0894470289349556
36,37,Jamaica,6.309199810028076,0.8912045955657959,0.9324901700019836,0.5990965962409973,0.6179500818252563,0.09873521327972412,0.035032786428928375
37,38,Lithuania,6.25540018081665,1.3497631549835205,1.0650265216827393,0.6118851900100708,0.4763244390487671,0.05575535073876381,0.07251642644405365
38,39,Cyprus,6.223499774932861,1.3767735958099365,0.7653141617774963,0.8005865812301636,0.4639536142349243,0.17824411392211914,0.06068984046578407
39,40,Estonia,6.188799858093262,1.3436338901519775,1.07881760597229,0.6400372385978699,0.6412279605865479,0.11869920790195465,0.26318541169166565
